ACN,Enzyme,Substrate,NH4Br,MES,H2O2,Vanadat,t,Fraction
0.4,0.5,10.0,70.0,50.0,10.0,1.0,2,0.621301058795111
0.4,0.5,10.0,70.0,50.0,10.0,1.0,102,12.654269855049
0.4,0.5,10.0,70.0,50.0,10.0,1.0,202,23.383644482917
0.4,0.5,10.0,70.0,50.0,10.0,1.0,302,33.2892535394547
0.4,0.5,10.0,70.0,50.0,10.0,1.0,402,42.0310121927347
0.4,0.5,10.0,70.0,50.0,10.0,1.0,502,49.4211242974182
0.4,0.5,10.0,70.0,50.0,10.0,1.0,602,53.660157504677
0.4,0.5,10.0,70.0,50.0,10.0,1.0,702,54.7368686423435
0.4,0.5,10.0,140.0,50.0,10.0,1.0,2,-0.0151481399042976
0.4,0.5,10.0,140.0,50.0,10.0,1.0,102,10.612587967111
0.4,0.5,10.0,140.0,50.0,10.0,1.0,202,22.4833454780426
0.4,0.5,10.0,140.0,50.0,10.0,1.0,302,33.9217748165946
0.4,0.5,10.0,140.0,50.0,10.0,1.0,402,43.5081953319469
0.4,0.5,10.0,140.0,50.0,10.0,1.0,502,51.5311074712934
0.4,0.5,10.0,140.0,50.0,10.0,1.0,602,54.2310500078877
0.4,0.5,10.0,140.0,50.0,10.0,1.0,702,55.5015741709742
0.4,0.5,10.0,70.0,50.0,10.0,2.0,2,0.184498087046856
0.4,0.5,10.0,70.0,50.0,10.0,2.0,102,10.8883785157717
0.4,0.5,10.0,70.0,50.0,10.0,2.0,202,22.7820262384107
0.4,0.5,10.0,70.0,50.0,10.0,2.0,302,30.9632972678903
0.4,0.5,10.0,70.0,50.0,10.0,2.0,402,32.1822304974286
0.4,0.5,10.0,70.0,50.0,10.0,2.0,502,33.5204441778408
0.4,0.5,10.0,70.0,50.0,10.0,2.0,602,34.7333498358585
0.4,0.5,10.0,70.0,50.0,10.0,2.0,702,36.0821081787669
0.5,0.5,10.0,70.0,50.0,10.0,1.0,2,0.717722803544778
0.5,0.5,10.0,70.0,50.0,10.0,1.0,102,15.9463023221405
0.5,0.5,10.0,70.0,50.0,10.0,1.0,202,30.7830975009282
0.5,0.5,10.0,70.0,50.0,10.0,1.0,302,42.0503433653748
0.5,0.5,10.0,70.0,50.0,10.0,1.0,402,50.3333017400478
0.5,0.5,10.0,70.0,50.0,10.0,1.0,502,53.9872744224768
0.5,0.5,10.0,70.0,50.0,10.0,1.0,602,54.8373102921819
0.5,0.5,10.0,70.0,50.0,10.0,1.0,702,55.411198414865
